"","Date","Trump","Cruz","Rubio","Carson","Kasich","Bush","Christie","Fiorina","Gilmore","Graham","Huckabee","Jindal","Pataki","Perry","Rand.Paul","Santorum","Walker","Undecided","DOW","Weekday","Month","MonthName","Quarter","Year"
"140",2015-09-18,28.6666666666667,5,5.66666666666667,13.6666666666667,3.33333333333333,11,3.66666666666667,8,NA,0.333333333333333,3,0.666666666666667,0.333333333333333,NA,3,1,2,10.3333333333333,"5","Friday","09","September",3,"2015"
"141",2015-09-19,30,5,6,18,3,10,3,8,2,1,3,1,0,NA,2,1,2,5,"6","Saturday","09","September",3,"2015"
"142",2015-09-20,23.5,6.5,10,19,5,7,4,10,0,0,2.5,0.5,0.5,NA,2.5,0.5,NA,6,"0","Sunday","09","September",3,"2015"
"143",2015-09-24,26.5,5.5,9,14,1.5,9,2.5,11,NA,0.5,2.5,0.5,0.5,NA,2.5,0.5,NA,13.5,"4","Thursday","09","September",3,"2015"
"144",2015-09-25,25,9,16,15,4,7,3,8,1,0,2,2,0,NA,4,1,NA,2,"5","Friday","09","September",3,"2015"
"145",2015-09-26,24.5,5.5,9,18,2.5,9,3.5,8.5,NA,NA,2.5,NA,NA,NA,5,NA,NA,7.5,"6","Saturday","09","September",3,"2015"
"146",2015-09-30,35,7,11,17,3,7,2,9,NA,0,5,0,0,NA,3,1,NA,NA,"3","Wednesday","09","September",3,"2015"
"147",2015-10-01,26.5,6,10.5,19.5,2.5,8.5,2.5,6.5,0,0.5,5,1,0.5,NA,3,1,NA,6,"4","Thursday","10","October",4,"2015"
"148",2015-10-02,31,5,10,13,4,7,4,6,NA,1,2,0,1,NA,3,1,NA,10,"5","Friday","10","October",4,"2015"
"149",2015-10-03,31,4,7,17,1,14,3,7,0,0,4,0,0,NA,4,0,NA,7,"6","Saturday","10","October",4,"2015"
"150",2015-10-04,27,9,8,21,2,6,3,6,NA,NA,2,0,0,NA,4,1,NA,11,"0","Sunday","10","October",4,"2015"
"151",2015-10-08,31,6.5,8,19,3,8,2.5,7,NA,1,3.5,0.5,0.5,NA,3,0.5,NA,5,"4","Thursday","10","October",4,"2015"
"152",2015-10-10,33,4,8,19,2,11,3,3,1,0,3,1,0,NA,4,1,NA,7,"6","Saturday","10","October",4,"2015"
"153",2015-10-13,28,6,9,23,3,5,2,6,0,0,3,1,0,NA,2,0,NA,7,"2","Tuesday","10","October",4,"2015"
